timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653815432377,32,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,32,0,0
1653815432410,131,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,131,0,0
1653815432542,108,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,107,0,0
1653815432650,51,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,50,0,0
1653815432703,26,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,26,0,0
1653815432730,16,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,16,0,0
1653815432747,20,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,20,0,0
1653815432768,14,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,14,0,0
1653815432783,22,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,22,0,0
1653815432806,14,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,14,0,0
1653815432821,14,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,14,0,0
1653815432836,16,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,15,0,0
1653815432853,15,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,15,0,0
1653815432869,30,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,30,0,0
1653815432900,32,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,32,0,0
1653815432933,18,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,18,0,0
1653815432952,16,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,15,0,0
1653815432968,16,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,16,0,0
1653815432985,18,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,18,0,0
1653815433004,19,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,19,0,0
1653815433024,20,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,19,0,0
1653815433045,25,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,24,0,0
1653815433070,19,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,18,0,0
1653815433090,30,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,30,0,0
1653815433121,13,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,13,0,0
1653815433136,21,HTTP Request,200,,查询测试 1-1,text,true,,60342,151,1,1,http://127.0.0.1:38082/militaryship/query/militaryship,20,0,0
